Turtle,100,100,100,100,100,100,100,100,100,100,100,100,100,99,96,91,85,78,70,62,53,42,31,20,8,0,0,0,0,0,
Cat,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,94,92,83,74,65,54,43,32,20,8,0,0,
Rabbit,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,98,97,94,91,85,78,70,62,52,42,31,19,7,0,
Voiture,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,88,82,76,70,45,20,0,0,0,0,0,0,0,0,
Robot,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,70,55,40,25,10,0,0,0,0,
Dog,100,100,100,100,100,100,100,100,100,100,100,100,100,99,98,97,96,93,90,87,82,73,64,55,44,33,21,9,0,0,
